Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,13/11/2022,1,"15,00","15,00",DRINKS NAO ALCOOLICOS,"0,53"
FRAPPE BAUNILHA,CAFE CLASSICOS,09/12/2022,2,"17,50","35,00",FRAPPE,"3,67"
CERVEJA MANIACS WITBIER,BEBIDAS CERVEJAS,02/04/2022,4,"12,00","48,00",CERVEJAS,"5,36"
GINGER COLD BREW,CAFE AUTORAIS,13/11/2021,3,"12,00","36,00",CAFE FRIO,"2,77"
SODA ITALIANA,DRINKS NAO ALCOOLICOS,18/10/2022,5,"12,00","60,00",DRINKS NAO ALCOOLICOS,"1,62"
CHOPP,BEBIDAS CERVEJAS,07/08/2022,20,"15,00","300,00",CERVEJAS,"4,93"
PINK LEMONADE,DRINKS NAO ALCOOLICOS,19/06/2022,5,"9,00","45,00",DRINKS NAO ALCOOLICOS,"1,02"
HONG KONG,CAFE AUTORAIS,13/01/2023,3,"12,00","36,00",CAFE FRIO,"2,07"
CHOCOLATE QUENTE EUROPEU,CAFE CLASSICOS,26/05/2021,2,"9,00","18,00",BEBIDAS QUENTES,"1,76"
AGUA COM GAS,BEBIDAS,25/03/2022,5,"6,00","30,00",BEBIDAS,"0,97"
SUCO DE LARANJA,BEBIDAS,09/01/2021,6,"9,00","54,00",BEBIDAS,"2,61"
COCA COLA LATA DIET 350ML,BEBIDAS,08/04/2023,13,"8,00","104,00",REFRIGERANTES,"3,19"
GRANDE MOCHA,CAFE CLASSICOS,09/04/2022,1,"15,00","15,00",BEBIDAS QUENTES,"3,91"
DOSE DE TEQUILA OURO,DRINKS ALCOOLICOS,13/02/2022,1,"20,00","20,00",DRINKS ALCOOLICOS,"8,33"
SODA LIMONADA ANTARCTICA  DIET LATA 350ML,BEBIDAS REFRIGERANTES,17/02/2023,1,"8,00","8,00",REFRIGERANTES,"3,2"
BUTTERBEER,DRINKS NAO ALCOOLICOS,12/12/2022,4,"15,00","60,00",DRINKS NAO ALCOOLICOS,"1,62"
AGUA COM GAS,BEBIDAS,07/02/2021,1,"6,00","6,00",BEBIDAS,"0,97"
CHA QUENTE SENCHA,BEBIDAS,11/04/2023,1,"6,00","6,00",CHA,"0,13"
CERVEJA BROOKLYN EAST IPA,BEBIDAS CERVEJAS,05/06/2022,1,"18,00","18,00",CERVEJAS,"8,68"
