Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,29/09/2022,5,"R$7,00","R$35,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,21/05/2022,7,"R$8,00","R$56,00"
Restaurante Bodogami,CALDA DE CHOCOLATE,BEBIDAS,15/01/2023,1,"R$2,00","R$2,00"
Restaurante Bodogami,FRAPPE OREO PANDA,CAFE AUTORAIS,20/04/2022,2,"R$17,00","R$34,00"
Restaurante Bodogami,CHA MATE COM PESSEGO GELADO,BEBIDAS,20/04/2023,2,"R$9,00","R$18,00"
Restaurante Bodogami,CERVEJA MANIACS ALOHA,BEBIDAS CERVEJAS,05/04/2022,3,"R$12,00","R$36,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,29/03/2022,3,"R$9,00","R$27,00"
Restaurante Bodogami,LATTE MEDIO,CAFE CLASSICOS,07/08/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,VALHALLA MEAD,DRINKS ALCOOLICOS,03/06/2021,1,"R$30,00","R$30,00"
Restaurante Bodogami,SUCO DE LIMAO,BEBIDAS,21/07/2022,1,"R$9,00","R$9,00"
Restaurante Bodogami,ESPRESSO,CAFE CLASSICOS,19/06/2022,5,"R$5,00","R$25,00"
Restaurante Bodogami,FRAPPE MORANGO,CAFE CLASSICOS,01/05/2023,4,"R$18,00","R$72,00"
Restaurante Bodogami,CAPPUCCINO GELADO,CAFE CLASSICOS,29/05/2022,1,"R$10,00","R$10,00"
Restaurante Bodogami,BUTTERBEER,DRINKS NAO ALCOOLICOS,02/08/2022,3,"R$15,00","R$45,00"
Restaurante Bodogami,VIRGIN BODOJITO,DRINKS NAO ALCOOLICOS,17/03/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,COUVERT LUDICO SEMANA,EVENTOS,14/10/2022,50,"R$20,00","R$1.000,00"
Restaurante Bodogami,LEITE VEGETAL AVEIA NUDE,CAFE CLASSICOS,23/10/2022,3,"R$3,00","R$9,00"
Restaurante Bodogami,ICED MATCHA LATTE,CAFE AUTORAIS,15/01/2023,2,"R$12,00","R$24,00"
Restaurante Bodogami,COLD BREW,CAFE CLASSICOS,11/10/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,GRANDE CAPPUCCINO,CAFE CLASSICOS,05/08/2021,1,"R$13,00","R$13,00"
Restaurante Bodogami,HOSHI COOLER,DRINKS ALCOOLICOS,10/06/2021,2,"R$24,00","R$48,00"
Restaurante Bodogami,AMERICANO,CAFE CLASSICOS,15/07/2022,2,"R$5,00","R$10,00"
Restaurante Bodogami,MELON FRESH,DRINKS NAO ALCOOLICOS,29/09/2021,3,"R$15,00","R$45,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,21/01/2022,3,"R$9,00","R$27,00"
Restaurante Bodogami,LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,09/09/2021,3,"R$15,00","R$45,00"
Restaurante Bodogami,FANTA LARANJA LATA 350ML,BEBIDAS REFRIGERANTES,01/05/2023,7,"R$8,00","R$56,00"
Restaurante Bodogami,CHA QUENTE GENMAICHA,BEBIDAS,07/07/2021,1,"R$5,00","R$5,00"
Restaurante Bodogami,COCADA FRESH,DRINKS NAO ALCOOLICOS,25/02/2023,3,"R$15,00","R$45,00"
Restaurante Bodogami,SUCO DE LIMAO,BEBIDAS,17/07/2021,4,"R$9,00","R$36,00"
Restaurante Bodogami,CHA MATE NATURAL GELADO,BEBIDAS,07/08/2021,4,"R$7,00","R$28,00"
Restaurante Bodogami,GUARANA ANTARCTICA 350ML,BEBIDAS REFRIGERANTES,13/05/2023,4,"R$8,00","R$32,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,16/07/2021,3,"R$5,00","R$15,00"
Restaurante Bodogami,COCA COLA 350ML,BEBIDAS REFRIGERANTES,29/04/2023,26,"R$8,00","R$208,00"
Restaurante Bodogami,SPACE CHAI,DRINKS NAO ALCOOLICOS,04/03/2023,6,"R$15,00","R$90,00"
Restaurante Bodogami,GRANDE ICED AMERICANO,CAFE CLASSICOS,11/02/2023,1,"R$9,00","R$9,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,14/10/2022,4,"R$8,00","R$32,00"
Restaurante Bodogami,LUMPY SUNRISE,DRINKS NAO ALCOOLICOS,08/03/2022,1,"R$15,00","R$15,00"
Restaurante Bodogami,FRAPPE CARAMELO,CAFE CLASSICOS,25/05/2021,1,"R$15,00","R$15,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,23/02/2022,4,"R$7,00","R$28,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,09/09/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,TACA DE VINHO,BEBIDAS VINHOS,05/06/2021,4,"R$15,00","R$60,00"
Restaurante Bodogami,CHANTILY EXTRA,CAFE CLASSICOS,17/05/2022,1,"R$2,00","R$2,00"
Restaurante Bodogami,FRAPPE UNICORNIO,CAFE CLASSICOS,18/08/2021,2,"R$17,00","R$34,00"
Restaurante Bodogami,SODA ITALIANA CUST,DRINKS NAO ALCOOLICOS,14/02/2023,2,"R$12,00","R$24,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,20/02/2022,13,"R$5,00","R$65,00"
Restaurante Bodogami,CERVEJA PABST LATA,BEBIDAS CERVEJAS,19/11/2022,7,"R$9,00","R$63,00"
Restaurante Bodogami,CHA VERDE GELADO COM LIMAO,CAFE CLASSICOS,15/12/2022,5,"R$8,00","R$40,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,25/05/2021,1,"R$5,00","R$5,00"
Restaurante Bodogami,GIN TONICA,DRINKS ALCOOLICOS,22/05/2021,1,"R$23,00","R$23,00"
Restaurante Bodogami,TWIX,CAFE AUTORAIS,20/01/2023,2,"R$18,00","R$36,00"
Restaurante Bodogami,SODA ITALIANA CUST,DRINKS NAO ALCOOLICOS,19/04/2023,2,"R$12,00","R$24,00"
Restaurante Bodogami,CHA MATE COM LIMAO GELADO,BEBIDAS,24/04/2021,7,"R$7,00","R$49,00"
Restaurante Bodogami,FANTA LARANJA LATA 350ML,BEBIDAS REFRIGERANTES,12/05/2023,2,"R$8,00","R$16,00"
Restaurante Bodogami,GRANDE ICED MOCHA,CAFE CLASSICOS,11/03/2023,5,"R$15,00","R$75,00"
Restaurante Bodogami,CHA MATE NATURAL GELADO,BEBIDAS,28/02/2022,3,"R$7,00","R$21,00"
Restaurante Bodogami,MOCHA,CAFE CLASSICOS,02/09/2021,1,"R$13,00","R$13,00"
Restaurante Bodogami,COUVERT LUDICO SEMANA,EVENTOS,12/08/2021,42,"R$10,00","R$420,00"
