Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
PEPINO EXTRA,ADICIONAIS,16/01/2022,1,"1,00","1,00",ADICIONAIS,"0,3"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,15/05/2022,3,"34,00","102,00",PARA COMPARTILHAR,"6,51"
SHOYU LAMEN VEGAN,ALMOCO,01/04/2023,5,"44,00","220,00",LAMEN,"6,18"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,10/10/2021,9,"28,00","252,00",PARA COMPARTILHAR,"5,47"
PEPINO EXTRA,ADICIONAIS,11/09/2022,1,"1,00","1,00",ADICIONAIS,"0,3"
VEG BURGUER KARE,ALMOCO,20/12/2022,1,"32,00","32,00",KARE,"4,48"
MISTO QUENTE,ALL DAY,09/06/2021,2,"13,00","26,00",LANCHES,"6,29"
COMBO SANDO FRITAS CHA,ALL DAY,07/05/2021,3,"28,00","84,00",ESPECIAL/COMBO,"10,97"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,28/11/2022,1,"34,00","34,00",PARA COMPARTILHAR,"6,67"
CHICKEN KATSU DONBURI,ALMOCO,03/12/2022,9,"34,00","306,00",DONBURI,"5,24"
BURGUER BENTO,ALMOCO,08/08/2021,1,"28,00","28,00",BENTO,"8,84"
KARAAGUE KARE,ALMOCO,24/06/2022,1,"32,00","32,00",KARE,"4,97"
TOAST TERIYAKI,ALL DAY,09/02/2023,2,"19,00","38,00",LANCHES,"3,44"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,07/07/2021,1,"23,00","23,00",PARA COMPARTILHAR,"7,49"
CREPE RED7,SOBREMESA,26/04/2023,1,"26,00","26,00",SOBREMESA,"7,94"
MITARASHI DANGO,SOBREMESA,09/05/2021,2,"9,00","18,00",SOBREMESA,"2,0"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,07/11/2021,4,"26,00","104,00",PARA COMPARTILHAR,"5,58"
VEG BURGUER DONBURI,ALMOCO,10/08/2021,1,"28,00","28,00",DONBURI,"5,03"
TANTANMEN LAMEN,ALMOCO,01/04/2023,1,"44,00","44,00",LAMEN,"7,13"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,17/04/2022,1,"20,00","20,00",PARA COMPARTILHAR,"3,31"
CHICKENKATSU SANDO,ALL DAY,15/04/2021,1,"24,00","24,00",LANCHES,"5,29"
DONBURI IFOOD,ALMOCO,04/02/2022,2,"34,00","68,00",DONBURI,"6,2"
MISTO QUENTE,ALL DAY,09/11/2021,1,"13,00","13,00",LANCHES,"6,29"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,02/09/2022,1,"32,00","32,00",PARA COMPARTILHAR,"7,49"
GELATINA DE CAFE,SOBREMESA,09/12/2022,4,"16,00","64,00",SOBREMESA,"3,08"
MISTO QUENTE,ALL DAY,05/03/2021,2,"13,00","26,00",LANCHES,"6,29"
KATSU SANDO,ALL DAY,08/01/2023,3,"32,00","96,00",LANCHES,"5,5"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,22/02/2023,3,"20,00","60,00",PARA COMPARTILHAR,"3,31"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,07/02/2023,3,"30,00","90,00",PARA COMPARTILHAR,"5,58"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,07/01/2023,13,"32,00","416,00",PARA COMPARTILHAR,"7,31"
TAMAGO SANDO,ALL DAY,08/08/2021,4,"17,00","68,00",LANCHES,"4,96"
TONKATSU BENTO,ALMOCO,21/09/2022,3,"30,00","90,00",BENTO,"5,53"
FRANGO TERIYAKI DONBURI,ALMOCO,16/01/2021,4,"28,00","112,00",DONBURI,"6,08"
SHOYU LAMEN,ALMOCO,30/03/2023,5,"44,00","220,00",LAMEN,"6,18"
COGUMELOS DONBURI,ALMOCO,01/06/2022,1,"32,00","32,00",DONBURI,"5,26"
DANGO,SOBREMESA,12/09/2021,9,"9,00","81,00",SOBREMESA,"1,56"
TANTANMEN LAMEN,ALMOCO,18/11/2022,3,"44,00","132,00",LAMEN,"7,13"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,13/07/2021,5,"12,00","60,00",SOBREMESA,"2,17"
CHICKEN KATSU DONBURI,ALMOCO,07/01/2023,10,"34,00","340,00",DONBURI,"5,24"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,29/10/2022,5,"32,00","160,00",PARA COMPARTILHAR,"7,31"
VEG BURGUER KARE,ALMOCO,05/08/2022,2,"32,00","64,00",KARE,"4,48"
CHICKENKATSU BENTO,ALMOCO,26/03/2023,2,"32,00","64,00",BENTO,"5,24"
QUEIJO EXTRA,ALL DAY,28/09/2022,2,"2,00","4,00",ADICIONAIS,"1,17"
VEGAN DONBURI,ALMOCO,29/09/2022,1,"32,00","32,00",DONBURI,"6,02"
VEG BURGUER BENTO,ALMOCO,21/05/2022,2,"30,00","60,00",BENTO,"5,03"
WANPAKU SANDO,ALL DAY,11/03/2023,1,"32,00","32,00",LANCHES,"6,87"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,21/01/2021,2,"25,00","50,00",PARA COMPARTILHAR,"7,31"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,11/02/2021,2,"12,00","24,00",SOBREMESA,"2,17"
KOROKKE KABOCHA,PARA COMPARTILHAR,17/12/2022,19,"33,00","627,00",PARA COMPARTILHAR,"2,99"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,12/05/2021,6,"27,00","162,00",PARA COMPARTILHAR,"6,51"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,06/05/2023,9,"36,00","324,00",PARA COMPARTILHAR,"5,47"
BURGUER DONBURI,ALMOCO,16/04/2022,4,"32,00","128,00",DONBURI,"8,84"
OVO COZIDO EXTRA,ALMOCO,11/09/2022,6,"4,00","24,00",ADICIONAIS,"0,55"
TOAST COGUMELOS,ALL DAY,02/03/2023,2,"19,00","38,00",LANCHES,"2,71"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,05/12/2022,2,"32,00","64,00",PARA COMPARTILHAR,"6,91"
TOAST COGUMELOS,ALL DAY,15/11/2021,1,"19,00","19,00",LANCHES,"2,71"
GOHAN EXTRA,ALMOCO,15/05/2022,5,"5,00","25,00",ADICIONAIS,"0,8"
CREPE JOHN LEMON,SOBREMESA,12/05/2023,4,"25,00","100,00",SOBREMESA,"4,87"
VEGGIE SANDO,ALL DAY,25/02/2022,1,"25,00","25,00",LANCHES,"6,21"
CHICKENKATSU BENTO,ALMOCO,21/09/2021,1,"28,00","28,00",BENTO,"5,24"
CHICKEN KATSU DONBURI,ALMOCO,19/08/2021,1,"28,00","28,00",DONBURI,"5,24"
COMBO MINIBURG FRITAS CHA,ALL DAY,29/04/2021,1,"30,00","30,00",ESPECIAL/COMBO,"10,68"
PANNACOTA DE MATCHA,SOBREMESA,26/11/2021,2,"14,00","28,00",SOBREMESA,"0,99"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,13/03/2022,7,"30,00","210,00",PARA COMPARTILHAR,"6,51"
TONKATSU BENTO,ALMOCO,16/01/2022,4,"30,00","120,00",BENTO,"5,53"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,25/08/2021,2,"25,50","51,00",PARA COMPARTILHAR,"5,58"
TANTANMEN LAMEN,ALMOCO,27/04/2023,3,"44,00","132,00",LAMEN,"7,13"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,24/11/2021,6,"32,00","192,00",PARA COMPARTILHAR,"6,67"
KATSU SANDO,ALL DAY,27/09/2022,2,"32,00","64,00",LANCHES,"5,5"
MISTO QUENTE,ALL DAY,22/05/2022,1,"16,00","16,00",LANCHES,"6,29"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,16/10/2022,8,"32,00","256,00",PARA COMPARTILHAR,"6,91"
VEG BURGUER DONBURI,ALMOCO,18/07/2021,6,"28,00","168,00",DONBURI,"5,03"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,24/06/2022,3,"32,00","96,00",PARA COMPARTILHAR,"7,31"
CHICKEN KATSU DONBURI,ALMOCO,25/08/2022,1,"32,00","32,00",DONBURI,"5,24"
VEG BURGUER DONBURI,ALMOCO,11/10/2021,2,"30,00","60,00",DONBURI,"5,03"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,23/04/2021,2,"28,00","56,00",PARA COMPARTILHAR,"5,47"
COMBO BENTO CHA,ALL DAY,12/01/2022,1,"32,00","32,00",ESPECIAL/COMBO,"6,67"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,24/03/2021,1,"25,00","25,00",PARA COMPARTILHAR,"5,58"
