Produto,Categoria,Data,Quantidade,PU,FT,Subcategoria,Custo
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,14/11/2022,3,"34,00","102,00",PARA COMPARTILHAR,"6,67"
VEGAN BENTO,ALMOCO,28/01/2022,1,"30,00","30,00",BENTO,"6,02"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,24/09/2022,5,"32,00","160,00",PARA COMPARTILHAR,"7,31"
BURGUER DONBURI,ALMOCO,01/09/2022,2,"32,00","64,00",DONBURI,"8,84"
TAMAGO SANDO,ALL DAY,22/05/2022,2,"20,00","40,00",LANCHES,"4,96"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,21/01/2023,7,"20,00","140,00",PARA COMPARTILHAR,"4,11"
MAIONESE EXTRA,ALMOCO,21/02/2023,3,"5,00","15,00",ADICIONAIS,"0,48"
KARAAGUE BENTO,ALMOCO,10/09/2022,1,"30,00","30,00",BENTO,"6,54"
BAURU,ALL DAY,24/11/2021,2,"13,00","26,00",LANCHES,"6,98"
KATSU SANDO,ALL DAY,28/10/2022,4,"32,00","128,00",LANCHES,"5,5"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,10/11/2021,3,"20,00","60,00",PARA COMPARTILHAR,"3,31"
KARAAGUE KARE,ALMOCO,28/10/2022,1,"32,00","32,00",KARE,"4,97"
COGUMELOS BENTO,ALMOCO,28/06/2022,2,"30,00","60,00",BENTO,"5,26"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,04/09/2022,5,"32,00","160,00",PARA COMPARTILHAR,"7,49"
TAMAGO SANDO,ALL DAY,19/09/2021,2,"17,00","34,00",LANCHES,"4,96"
CREPE OUTONO,SOBREMESA,23/02/2022,7,"15,00","105,00",SOBREMESA,"4,0"
COGUMELOS DONBURI,ALMOCO,05/03/2022,2,"32,00","64,00",DONBURI,"5,26"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,14/10/2021,1,"28,00","28,00",PARA COMPARTILHAR,"7,49"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,23/02/2023,2,"34,00","68,00",PARA COMPARTILHAR,"6,91"
KARAAGUE KARE,ALMOCO,22/06/2022,7,"32,00","224,00",KARE,"4,97"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,23/08/2022,3,"32,00","96,00",PARA COMPARTILHAR,"7,49"
TOAST COGUMELOS,ALL DAY,04/10/2022,1,"19,00","19,00",LANCHES,"2,71"
FRANGO TERIYAKI DONBURI,ALMOCO,01/06/2021,1,"28,00","28,00",DONBURI,"6,08"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,27/06/2021,7,"12,00","84,00",SOBREMESA,"2,17"
BURGUER BENTO,ALMOCO,28/08/2021,1,"28,00","28,00",BENTO,"8,84"
BAURU,ALL DAY,14/09/2021,2,"13,00","26,00",LANCHES,"6,98"
TAMAGO SANDO,ALL DAY,06/02/2021,4,"17,00","68,00",LANCHES,"4,96"
VEG BURGUER DONBURI,ALMOCO,03/07/2022,2,"32,00","64,00",DONBURI,"5,03"
PAO COM REQUEIJAO,ALL DAY,18/08/2022,1,"9,00","9,00",LANCHES,"4,01"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,10/03/2022,1,"30,00","30,00",PARA COMPARTILHAR,"6,51"
TAMAGO SANDO,ALL DAY,10/07/2021,1,"17,00","17,00",LANCHES,"4,96"
WANPAKU SANDO,ALL DAY,07/06/2022,1,"28,00","28,00",LANCHES,"6,87"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,08/01/2022,8,"20,00","160,00",PARA COMPARTILHAR,"4,11"
KATSU DONBURI,ALMOCO,19/06/2022,3,"32,00","96,00",DONBURI,"5,53"
TONKATSU KARE,ALMOCO,11/07/2021,2,"32,00","64,00",KARE,"4,44"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,15/10/2021,11,"28,00","308,00",PARA COMPARTILHAR,"7,31"
COMBO SANDO FRITAS CHA,ALL DAY,19/05/2021,1,"28,00","28,00",ESPECIAL/COMBO,"10,97"
VEGGIE SANDO,ALL DAY,10/11/2021,2,"25,00","50,00",LANCHES,"6,21"
JOGO AVULSO POCKET,ALMOCO,13/07/2021,1,"10,00","10,00",ESPECIAL/COMBO,"0,0"
QUEIJO QUENTE,ALL DAY,12/06/2022,2,"16,00","32,00",LANCHES,"4,05"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,27/04/2022,4,"30,00","120,00",PARA COMPARTILHAR,"6,51"
COMBO MINIBURG FRITAS CHA,ALL DAY,19/03/2022,4,"30,00","120,00",ESPECIAL/COMBO,"10,68"
TONKATSU KARE,ALMOCO,05/06/2022,5,"34,00","170,00",KARE,"4,44"
TONKATSU KARE,ALMOCO,13/01/2023,14,"34,00","476,00",KARE,"4,44"
OVO COZIDO EXTRA,ALMOCO,19/03/2022,1,"4,00","4,00",ADICIONAIS,"0,55"
QUEIJO EXTRA,ALL DAY,09/03/2023,2,"2,00","4,00",ADICIONAIS,"1,17"
CHICKENKATSU BENTO,ALMOCO,15/02/2023,1,"32,00","32,00",BENTO,"5,24"
COUVE FLOR EMPANADA,PARA COMPARTILHAR,10/11/2021,1,"30,00","30,00",PARA COMPARTILHAR,"5,65"
CREPE RED7,SOBREMESA,03/09/2022,1,"26,00","26,00",SOBREMESA,"7,94"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,31/07/2022,6,"34,00","204,00",PARA COMPARTILHAR,"6,51"
TACO VEGETAIS,PARA COMPARTILHAR,08/05/2022,2,"21,00","42,00",PARA COMPARTILHAR,"2,8"
TOAST TERIYAKI,ALL DAY,17/03/2022,1,"19,00","19,00",LANCHES,"3,44"
QUEIJO QUENTE,ALL DAY,04/09/2022,3,"16,00","48,00",LANCHES,"4,05"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,21/06/2022,3,"32,00","96,00",PARA COMPARTILHAR,"7,31"
DONBURI IFOOD,ALMOCO,13/08/2022,3,"34,00","102,00",DONBURI,"6,2"
CHICKENKATSU BENTO,ALMOCO,21/07/2022,1,"30,00","30,00",BENTO,"5,24"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,02/05/2021,7,"25,00","175,00",PARA COMPARTILHAR,"7,31"
CREPE RED7,SOBREMESA,03/11/2022,1,"26,00","26,00",SOBREMESA,"7,94"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,03/10/2021,6,"15,00","90,00",PARA COMPARTILHAR,"4,11"
GOHAN EXTRA,ALMOCO,10/07/2022,9,"5,00","45,00",ADICIONAIS,"0,8"
DONBURI IFOOD,ALMOCO,11/11/2021,1,"34,00","34,00",DONBURI,"6,2"
COMBO SANDO FRITAS CHA,ALL DAY,24/11/2022,2,"35,00","70,00",ESPECIAL/COMBO,"10,97"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,14/04/2023,5,"20,00","100,00",PARA COMPARTILHAR,"4,11"
ALMOCO EXECUTIVO,ALMOCO,25/02/2021,54,"28,00","1.512,00",DONBURI,"5,48"
MISTO QUENTE,ALL DAY,16/04/2022,2,"16,00","32,00",LANCHES,"6,29"
MOTI BRANCO COM UVA,SOBREMESA,04/08/2022,1,"15,00","15,00",SOBREMESA,"6,06"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,20/10/2022,2,"34,00","68,00",PARA COMPARTILHAR,"6,67"
TOAST AVOCADO,ALL DAY,22/03/2022,1,"19,00","19,00",LANCHES,"6,33"
VEGAN BENTO,ALMOCO,26/11/2021,1,"30,00","30,00",BENTO,"6,02"
CHICKEN KATSU DONBURI,ALMOCO,07/11/2021,5,"32,00","160,00",DONBURI,"5,24"
WANPAKU SANDO,ALL DAY,25/01/2023,2,"32,00","64,00",LANCHES,"6,87"
TAMAGO SANDO,ALL DAY,11/03/2023,1,"22,00","22,00",LANCHES,"4,96"
FRANGO TERIYAKI BENTO,ALMOCO,30/07/2022,3,"30,00","90,00",BENTO,"6,8"
QUEIJO QUENTE,ALL DAY,12/12/2021,1,"13,00","13,00",LANCHES,"4,05"
PAO COM REQUEIJAO,ALL DAY,14/08/2022,4,"9,00","36,00",LANCHES,"4,01"
COMBO MINIBURG FRITAS CHA,ALL DAY,20/08/2022,2,"30,00","60,00",ESPECIAL/COMBO,"10,68"
CHICKENKATSU SANDO,ALL DAY,10/12/2022,4,"32,00","128,00",LANCHES,"5,29"
CHICKENKATSU BENTO,ALMOCO,29/03/2023,1,"32,00","32,00",BENTO,"5,24"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,27/10/2022,2,"20,00","40,00",PARA COMPARTILHAR,"4,11"
PAO COM CATUPIRY E ESPRESSO,ALL DAY,17/03/2023,1,"15,00","15,00",ESPECIAL/COMBO,"4,82"
COUVE FLOR EMPANADA,PARA COMPARTILHAR,30/10/2022,1,"32,00","32,00",PARA COMPARTILHAR,"5,65"
KOROKKE TERIYAKI,PARA COMPARTILHAR,10/02/2023,3,"33,00","99,00",PARA COMPARTILHAR,"3,49"
BURGUER DONBURI,ALMOCO,21/02/2023,2,"34,00","68,00",DONBURI,"8,84"
MITARASHI DANGO,SOBREMESA,05/12/2021,2,"9,00","18,00",SOBREMESA,"2,0"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,22/07/2021,1,"28,00","28,00",PARA COMPARTILHAR,"6,67"
TAMAGO SANDO,ALL DAY,30/07/2022,1,"20,00","20,00",LANCHES,"4,96"
COUVE FLOR EMPANADA,PARA COMPARTILHAR,13/01/2022,1,"30,00","30,00",PARA COMPARTILHAR,"5,65"
MISTO QUENTE,ALL DAY,19/03/2022,3,"16,00","48,00",LANCHES,"6,29"
CHICKENKATSU SANDO,ALL DAY,08/07/2022,8,"30,00","240,00",LANCHES,"5,29"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,22/01/2023,6,"12,67","76,00",SOBREMESA,"2,17"
DANGO,SOBREMESA,30/11/2022,9,"9,00","81,00",SOBREMESA,"1,56"
KATSU SANDO,ALL DAY,22/02/2022,2,"28,00","56,00",LANCHES,"5,5"
CHEESECAKE DE MANGA,SOBREMESA,09/06/2022,2,"16,00","32,00",SOBREMESA,"3,29"
TACO SUINO,PARA COMPARTILHAR,26/06/2022,2,"21,00","42,00",PARA COMPARTILHAR,"2,63"
FRANGO TERIYAKI BENTO,ALMOCO,18/03/2023,3,"32,00","96,00",BENTO,"6,8"
COUVE FLOR EMPANADA,PARA COMPARTILHAR,14/08/2022,1,"32,00","32,00",PARA COMPARTILHAR,"5,65"
CREPE ROMEO E JULIETA,SOBREMESA,20/06/2021,1,"15,00","15,00",SOBREMESA,"2,01"
TOAST COGUMELOS,ALL DAY,14/05/2023,1,"19,00","19,00",LANCHES,"2,71"
CHICKENKATSU KARE,ALMOCO,05/09/2021,3,"32,00","96,00",KARE,"4,34"
TOAST AVOCADO,ALL DAY,21/01/2023,1,"19,00","19,00",LANCHES,"6,33"
COMBO SANDO FRITAS CHA,ALL DAY,28/06/2022,3,"28,00","84,00",ESPECIAL/COMBO,"10,97"
TEMPURA,PARA COMPARTILHAR,19/03/2023,5,"28,00","140,00",PARA COMPARTILHAR,"5,79"
BAURU,ALL DAY,12/10/2022,2,"22,00","44,00",LANCHES,"6,98"
JOGO AVULSO POCKET,ALMOCO,07/05/2022,1,"10,00","10,00",ESPECIAL/COMBO,"0,0"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,12/04/2022,2,"30,00","60,00",PARA COMPARTILHAR,"5,58"
MITARASHI DANGO,SOBREMESA,18/02/2022,1,"9,00","9,00",SOBREMESA,"2,0"
COMBO MINIBURG FRITAS CHA,ALL DAY,21/10/2021,1,"30,00","30,00",ESPECIAL/COMBO,"10,68"
TONKATSU BENTO,ALMOCO,19/10/2022,1,"32,00","32,00",BENTO,"5,53"
CHICKENKATSU KARE,ALMOCO,11/01/2023,4,"32,00","128,00",KARE,"4,34"
VEGGIE SANDO,ALL DAY,05/12/2021,4,"25,00","100,00",LANCHES,"6,21"
TONKATSU KARE,ALMOCO,14/09/2022,1,"34,00","34,00",KARE,"4,44"
TONKATSU KARE,ALMOCO,13/08/2022,8,"33,75","270,00",KARE,"4,44"
WANPAKU SANDO,ALL DAY,27/09/2022,1,"32,00","32,00",LANCHES,"6,87"
COMBO SANDO FRITAS CHA,ALL DAY,05/11/2021,8,"28,00","224,00",ESPECIAL/COMBO,"10,97"
DANGO,SOBREMESA,26/08/2022,5,"9,00","45,00",SOBREMESA,"1,56"
PANNACOTA DE MATCHA,SOBREMESA,01/12/2021,1,"14,00","14,00",SOBREMESA,"0,99"
GELATINA DE CAFE,SOBREMESA,17/12/2022,3,"16,00","48,00",SOBREMESA,"3,08"
CHEESECAKE DE MANGA,SOBREMESA,30/10/2021,2,"16,00","32,00",SOBREMESA,"3,29"
TOAST AVOCADO,ALL DAY,29/05/2021,4,"19,00","76,00",LANCHES,"6,33"
PANNACOTA DE MATCHA,SOBREMESA,19/02/2021,1,"14,00","14,00",SOBREMESA,"0,99"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,03/06/2021,6,"25,00","150,00",PARA COMPARTILHAR,"7,31"
BAURU,ALL DAY,11/01/2023,3,"22,00","66,00",LANCHES,"6,98"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,19/12/2022,2,"30,00","60,00",PARA COMPARTILHAR,"5,58"
TONKATSU KARE,ALMOCO,12/07/2022,4,"34,00","136,00",KARE,"4,44"
CHEESECAKE DE MANGA,SOBREMESA,16/07/2022,2,"16,00","32,00",SOBREMESA,"3,29"
CHICKEN KATSU DONBURI,ALMOCO,15/12/2022,7,"34,00","238,00",DONBURI,"5,24"
FRANGO TERIYAKI DONBURI,ALMOCO,21/02/2021,2,"28,00","56,00",DONBURI,"6,08"
COMBO SANDO FRITAS CHA,ALL DAY,26/10/2021,1,"28,00","28,00",ESPECIAL/COMBO,"10,97"
TONKATSU BENTO,ALMOCO,10/09/2022,1,"30,00","30,00",BENTO,"5,53"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,01/05/2022,3,"30,00","90,00",PARA COMPARTILHAR,"7,31"
GELATINA DE CAFE,SOBREMESA,21/08/2022,3,"16,00","48,00",SOBREMESA,"3,08"
TANTANMEN LAMEN,ALMOCO,22/01/2023,2,"44,00","88,00",LAMEN,"7,13"
GOHAN EXTRA,ALMOCO,09/03/2023,2,"5,00","10,00",ADICIONAIS,"0,8"
KATSU DONBURI,ALMOCO,28/10/2022,3,"34,00","102,00",DONBURI,"5,53"
CHICKENKATSU BENTO,ALMOCO,12/08/2021,1,"28,00","28,00",BENTO,"5,24"
TACA DE NATAL,SOBREMESA,10/12/2022,6,"28,00","168,00",SOBREMESA,"5,96"
VEGGIE SANDO,ALL DAY,01/05/2022,2,"27,00","54,00",LANCHES,"6,21"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,18/02/2022,7,"20,00","140,00",PARA COMPARTILHAR,"4,11"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,24/10/2021,3,"15,00","45,00",PARA COMPARTILHAR,"3,31"
COGUMELOS BENTO,ALMOCO,26/09/2021,1,"28,00","28,00",BENTO,"5,26"
BAURU,ALL DAY,11/12/2022,2,"22,00","44,00",LANCHES,"6,98"
CHICKEN KATSU DONBURI,ALMOCO,14/02/2023,1,"34,00","34,00",DONBURI,"5,24"
CHICKENKATSU SANDO,ALL DAY,09/08/2022,1,"30,00","30,00",LANCHES,"5,29"
BURGUER DONBURI,ALMOCO,30/07/2022,7,"32,00","224,00",DONBURI,"8,84"
GELATINA DE CAFE,SOBREMESA,20/07/2022,1,"16,00","16,00",SOBREMESA,"3,08"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,31/07/2022,11,"12,00","132,00",SOBREMESA,"2,17"
TONKATSU BENTO,ALMOCO,12/02/2023,3,"32,00","96,00",BENTO,"5,53"
FRANGO APIMENTADO SRTA SCARLETT,PARA COMPARTILHAR,13/01/2023,19,"34,00","646,00",PARA COMPARTILHAR,"6,67"
VEGGIE SANDO,ALL DAY,07/05/2022,3,"27,00","81,00",LANCHES,"6,21"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,07/12/2021,2,"28,00","56,00",PARA COMPARTILHAR,"5,47"
KATSU SANDO,ALL DAY,16/05/2021,2,"26,00","52,00",LANCHES,"5,5"
PEPINO EXTRA,ADICIONAIS,10/07/2022,2,"1,00","2,00",ADICIONAIS,"0,3"
BURGUER DONBURI,ALMOCO,30/10/2022,1,"34,00","34,00",DONBURI,"8,84"
QUEIJO QUENTE,ALL DAY,10/02/2023,1,"20,00","20,00",LANCHES,"4,05"
TONKATSU BENTO,ALMOCO,29/10/2021,1,"28,00","28,00",BENTO,"5,53"
JOGO AVULSO POCKET,ALMOCO,25/04/2023,1,"10,00","10,00",ESPECIAL/COMBO,"0,0"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,07/09/2021,4,"15,00","60,00",PARA COMPARTILHAR,"3,31"
GELATINA DE CAFE,SOBREMESA,09/06/2022,1,"16,00","16,00",SOBREMESA,"3,08"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,17/07/2022,4,"32,00","128,00",PARA COMPARTILHAR,"7,49"
MINI VEG BURGUER REVERENDO SR GREEN,PARA COMPARTILHAR,26/02/2022,3,"28,00","84,00",PARA COMPARTILHAR,"5,58"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,28/05/2021,7,"15,00","105,00",PARA COMPARTILHAR,"4,11"
CHICKENKATSU AVULSO,ADICIONAIS,13/11/2022,3,"15,00","45,00",ADICIONAIS,"1,37"
QUEIJO EXTRA,ALL DAY,08/08/2021,1,"1,00","1,00",ADICIONAIS,"1,17"
TONKATSU KARE,ALMOCO,13/10/2022,2,"34,00","68,00",KARE,"4,44"
CREPE JOHN LEMON,SOBREMESA,19/10/2022,1,"20,00","20,00",SOBREMESA,"4,87"
TOAST TERIYAKI,ALL DAY,27/10/2022,1,"19,00","19,00",LANCHES,"3,44"
TONKATSU KARE,ALMOCO,25/10/2022,2,"34,00","68,00",KARE,"4,44"
TAPIOCA JENGADINHO,PARA COMPARTILHAR,23/04/2021,3,"23,00","69,00",PARA COMPARTILHAR,"7,49"
TAMAGO SANDO,ALL DAY,13/05/2023,1,"22,00","22,00",LANCHES,"4,96"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,22/09/2022,2,"32,00","64,00",PARA COMPARTILHAR,"7,31"
MISTO QUENTE,ALL DAY,11/12/2021,2,"13,00","26,00",LANCHES,"6,29"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,03/05/2022,2,"33,00","66,00",PARA COMPARTILHAR,"5,47"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,15/07/2021,3,"15,00","45,00",PARA COMPARTILHAR,"3,31"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,23/10/2022,3,"20,00","60,00",PARA COMPARTILHAR,"3,31"
VEGAN BENTO,ALMOCO,24/11/2022,1,"30,00","30,00",BENTO,"6,02"
FRANGO TERIYAKI DONBURI,ALMOCO,30/04/2021,2,"28,00","56,00",DONBURI,"6,08"
DANGO,SOBREMESA,09/03/2022,2,"9,00","18,00",SOBREMESA,"1,56"
CUBOS FRANGO MUNCHICKEN BITES,PARA COMPARTILHAR,11/02/2023,6,"34,00","204,00",PARA COMPARTILHAR,"6,51"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,31/07/2022,10,"32,00","320,00",PARA COMPARTILHAR,"6,91"
TOAST TERIYAKI,ALL DAY,19/03/2022,4,"19,00","76,00",LANCHES,"3,44"
TOAST AVOCADO,ALL DAY,18/10/2022,1,"19,00","19,00",LANCHES,"6,33"
GELATINA DE CAFE,SOBREMESA,22/04/2023,3,"16,00","48,00",SOBREMESA,"3,08"
COGUMELOS DONBURI,ALMOCO,09/02/2021,2,"28,00","56,00",DONBURI,"5,26"
MISTO QUENTE,ALL DAY,25/09/2021,2,"13,00","26,00",LANCHES,"6,29"
MAIONESE DE PAPRICA,ALMOCO,05/11/2022,2,"5,00","10,00",ADICIONAIS,"1,2"
TOAST TERIYAKI,ALL DAY,15/06/2022,2,"19,00","38,00",LANCHES,"3,44"
MITARASHI DANGO,SOBREMESA,06/05/2021,2,"9,00","18,00",SOBREMESA,"2,0"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,26/08/2022,2,"20,00","40,00",PARA COMPARTILHAR,"4,11"
TOAST COGUMELOS,ALL DAY,29/01/2023,1,"19,00","19,00",LANCHES,"2,71"
CHICKENKATSU BENTO,ALMOCO,15/03/2023,1,"32,00","32,00",BENTO,"5,24"
CHICKEN KATSU DONBURI,ALMOCO,06/08/2022,11,"32,00","352,00",DONBURI,"5,24"
GOHAN EXTRA,ALMOCO,06/08/2021,1,"5,00","5,00",ADICIONAIS,"0,8"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,09/08/2022,9,"33,00","297,00",PARA COMPARTILHAR,"5,47"
TONKATSU KARE,ALMOCO,10/07/2021,5,"32,00","160,00",KARE,"4,44"
VEGAN BENTO,ALMOCO,19/03/2023,1,"30,00","30,00",BENTO,"6,02"
PAO COM REQUEIJAO,ALL DAY,15/01/2022,2,"9,00","18,00",LANCHES,"4,01"
GOHAN EXTRA,ALMOCO,01/09/2021,1,"5,00","5,00",ADICIONAIS,"0,8"
WANPAKU SANDO,ALL DAY,18/07/2021,2,"22,00","44,00",LANCHES,"6,87"
MISTO QUENTE,ALL DAY,27/04/2022,1,"16,00","16,00",LANCHES,"6,29"
CREPE RED7,SOBREMESA,23/09/2022,2,"26,00","52,00",SOBREMESA,"7,94"
KARAAGUE BENTO,ALMOCO,08/09/2022,1,"30,00","30,00",BENTO,"6,54"
BAURU,ALL DAY,15/01/2022,7,"13,00","91,00",LANCHES,"6,98"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,18/01/2022,4,"30,00","120,00",PARA COMPARTILHAR,"6,91"
WANPAKU SANDO,ALL DAY,11/05/2022,1,"28,00","28,00",LANCHES,"6,87"
CHICKENKATSU BENTO,ALMOCO,19/11/2022,2,"32,00","64,00",BENTO,"5,24"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,09/02/2021,3,"25,00","75,00",PARA COMPARTILHAR,"7,31"
DANGO,SOBREMESA,05/04/2021,4,"9,00","36,00",SOBREMESA,"1,56"
TOAST TERIYAKI,ALL DAY,04/09/2021,1,"19,00","19,00",LANCHES,"3,44"
MOTI DE CHOCOLATE E MORANGO,SOBREMESA,27/04/2023,3,"14,00","42,00",SOBREMESA,"2,17"
KARAAGUE KARE,ALMOCO,04/03/2023,8,"32,00","256,00",KARE,"4,97"
CREPE JOHN LEMON,SOBREMESA,22/06/2022,3,"17,00","51,00",SOBREMESA,"4,87"
MISTO QUENTE,ALL DAY,07/12/2021,1,"13,00","13,00",LANCHES,"6,29"
FRANGO TERIYAKI DONBURI,ALMOCO,30/01/2023,5,"34,00","170,00",DONBURI,"6,08"
DONBURI IFOOD,ALMOCO,28/10/2021,2,"34,00","68,00",DONBURI,"6,2"
GUIOZA SUINO PUERCO RICO,PARA COMPARTILHAR,14/10/2022,2,"20,00","40,00",PARA COMPARTILHAR,"4,11"
MAIONESE GOSHUJANG,ALMOCO,14/02/2023,2,"5,00","10,00",ADICIONAIS,"1,2"
FRANGO TERIYAKI DONBURI,ALMOCO,23/09/2022,2,"34,00","68,00",DONBURI,"6,08"
DUO ONIGUIRI COGUMELOS,PARA COMPARTILHAR,18/04/2023,2,"14,00","28,00",PARA COMPARTILHAR,"2,85"
DUO ONIGUIRI COGUMELOS,PARA COMPARTILHAR,22/11/2022,2,"14,00","28,00",PARA COMPARTILHAR,"2,85"
FRANGO TERIYAKI DONBURI,ALMOCO,10/05/2022,6,"32,00","192,00",DONBURI,"6,08"
BURGUER DONBURI,ALMOCO,24/01/2021,2,"28,00","56,00",DONBURI,"8,84"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,02/06/2022,2,"20,00","40,00",PARA COMPARTILHAR,"3,31"
VEGAN BENTO,ALMOCO,20/03/2022,2,"30,00","60,00",BENTO,"6,02"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,24/02/2022,3,"28,00","84,00",PARA COMPARTILHAR,"7,31"
DANGO,SOBREMESA,03/07/2022,9,"9,00","81,00",SOBREMESA,"1,56"
BURGUER DONBURI,ALMOCO,30/05/2021,3,"28,00","84,00",DONBURI,"8,84"
CHICKEN KATSU DONBURI,ALMOCO,07/12/2022,1,"34,00","34,00",DONBURI,"5,24"
VEGAN DONBURI,ALMOCO,29/05/2022,3,"32,00","96,00",DONBURI,"6,02"
DUO ONIGUIRI COGUMELOS,PARA COMPARTILHAR,17/09/2022,6,"14,00","84,00",PARA COMPARTILHAR,"2,85"
CHICKENKATSU BENTO,ALMOCO,28/01/2023,3,"32,00","96,00",BENTO,"5,24"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,22/07/2021,5,"25,00","125,00",PARA COMPARTILHAR,"7,31"
FRANGO TERIYAKI BENTO,ALMOCO,07/05/2023,5,"32,00","160,00",BENTO,"6,8"
CHICKENKATSU BENTO,ALMOCO,29/11/2022,1,"32,00","32,00",BENTO,"5,24"
CHEESECAKE DE MANGA,SOBREMESA,18/05/2022,1,"16,00","16,00",SOBREMESA,"3,29"
BURGUER DONBURI,ALMOCO,15/01/2022,2,"32,00","64,00",DONBURI,"8,84"
MOTI BRANCO COM UVA,SOBREMESA,28/08/2022,3,"15,00","45,00",SOBREMESA,"6,06"
SHOYU LAMEN VEGAN,ALMOCO,03/02/2023,4,"44,00","176,00",LAMEN,"6,18"
GUIOZA VEGETAIS AGRICOLA,PARA COMPARTILHAR,13/01/2023,1,"20,00","20,00",PARA COMPARTILHAR,"3,31"
DUO ONIGUIRI BARRIGA,PARA COMPARTILHAR,23/03/2023,2,"16,00","32,00",PARA COMPARTILHAR,"3,25"
WANPAKU SANDO,ALL DAY,03/05/2023,1,"32,00","32,00",LANCHES,"6,87"
DANGO,SOBREMESA,27/02/2021,4,"9,00","36,00",SOBREMESA,"1,56"
BATATAS FRITAS JUMANJI,PARA COMPARTILHAR,13/02/2021,8,"25,00","200,00",PARA COMPARTILHAR,"7,31"
QUEIJO QUENTE,ALL DAY,30/11/2021,2,"13,00","26,00",LANCHES,"4,05"
MINI BURGUER CORONEL MUSTARD,PARA COMPARTILHAR,08/07/2022,21,"33,00","693,00",PARA COMPARTILHAR,"5,47"
TAMAGO SANDO,ALL DAY,30/04/2022,2,"20,00","40,00",LANCHES,"4,96"
DUO ONIGUIRI BARRIGA,PARA COMPARTILHAR,13/01/2023,12,"16,00","192,00",PARA COMPARTILHAR,"3,25"
BURGUER DONBURI,ALMOCO,05/10/2021,1,"30,00","30,00",DONBURI,"8,84"
BATATA CHEDDAR E BACON,PARA COMPARTILHAR,18/03/2022,13,"32,00","416,00",PARA COMPARTILHAR,"6,91"
VEG BURGUER DONBURI,ALMOCO,08/01/2022,4,"32,00","128,00",DONBURI,"5,03"
COGUMELOS DONBURI,ALMOCO,20/02/2022,3,"32,00","96,00",DONBURI,"5,26"
TEMPURA,PARA COMPARTILHAR,01/11/2022,1,"24,00","24,00",PARA COMPARTILHAR,"5,79"
DONBURI IFOOD,ALMOCO,25/02/2022,1,"34,00","34,00",DONBURI,"6,2"
VEG BURGUER BENTO,ALMOCO,15/05/2021,1,"28,00","28,00",BENTO,"5,03"
CREPE JOHN LEMON,SOBREMESA,06/12/2022,10,"20,00","200,00",SOBREMESA,"4,87"
